Date,Time,Room,Temperature (°C),Humidity (%),Light (lux),Motion
23/2/2026,08:32:02,Bedroom,26.9,82.4,6.15,Not Detected
23/2/2026,08:31:54,Living Room,27,82.5,10.09,Not Detected
23/2/2026,08:30:59,Living Room,27,82.5,10.26,Not Detected
23/2/2026,08:30:57,Bedroom,26.9,82.4,6.37,Not Detected
23/2/2026,08:27:59,Living Room,27,82.6,10.16,Not Detected
23/2/2026,08:27:58,Bedroom,26.9,82.4,6.45,Not Detected
23/2/2026,08:27:02,Bedroom,26.8,82.4,6.47,Not Detected
23/2/2026,08:26:54,Living Room,27.1,82.6,10.06,Not Detected
23/2/2026,08:25:59,Living Room,27,82.6,10.09,Not Detected
23/2/2026,08:25:57,Bedroom,26.9,82.5,6.25,Not Detected
23/2/2026,08:25:03,Living Room,27,82.5,10.09,Not Detected
23/2/2026,08:25:02,Bedroom,26.9,82.5,6.37,Not Detected
23/2/2026,08:23:58,Living Room,27,82.5,10.01,Not Detected
23/2/2026,08:23:57,Bedroom,26.9,82.4,6.3,Not Detected
23/2/2026,08:23:02,Living Room,27,82.5,10.06,Not Detected
23/2/2026,08:23:01,Bedroom,26.9,82.4,6.18,Not Detected
23/2/2026,08:21:01,Bedroom,26.9,82.4,6.45,Not Detected
23/2/2026,08:20:53,Living Room,27,82.5,10.18,Not Detected
23/2/2026,08:20:07,Living Room,27,82.5,10.06,Not Detected
23/2/2026,08:20:06,Bedroom,26.9,82.4,6.32,Not Detected
23/2/2026,08:18:59,Living Room,27,82.4,10.09,Not Detected
23/2/2026,08:18:58,Bedroom,26.9,82.4,6.28,Not Detected
23/2/2026,08:18:03,Bedroom,26.9,82.4,6.25,Not Detected
23/2/2026,08:17:55,Living Room,27,82.5,10.06,Not Detected
23/2/2026,08:17:00,Living Room,27,82.5,10.01,Not Detected
23/2/2026,08:16:58,Bedroom,26.9,82.4,6.3,Not Detected
23/2/2026,08:15:55,Living Room,27,82.5,10.18,Not Detected
23/2/2026,08:15:54,Bedroom,26.9,82.4,6.3,Not Detected
23/2/2026,08:15:07,Bedroom,26.9,82.3,6.37,Not Detected
23/2/2026,08:14:59,Living Room,27,82.5,9.99,Not Detected
23/2/2026,08:14:02,Bedroom,26.9,82.4,6.35,Not Detected
23/2/2026,08:13:54,Living Room,27,82.5,10.16,Not Detected
23/2/2026,08:12:59,Living Room,27,82.5,9.99,Not Detected
23/2/2026,08:12:58,Bedroom,26.9,82.3,6.3,Not Detected
23/2/2026,08:12:02,Bedroom,26.9,82.4,6.3,Not Detected
23/2/2026,08:11:54,Living Room,27,82.5,10.16,Not Detected
23/2/2026,08:10:59,Living Room,27,82.5,10.11,Not Detected
23/2/2026,08:10:58,Bedroom,26.9,82.4,6.25,Not Detected
23/2/2026,08:10:03,Living Room,27,82.5,10.01,Not Detected
23/2/2026,08:10:02,Bedroom,26.9,82.4,6.25,Not Detected
23/2/2026,08:08:59,Living Room,27,82.5,9.99,Not Detected
23/2/2026,08:08:58,Bedroom,26.8,82.3,6.25,Not Detected
23/2/2026,08:08:01,Living Room,27,82.5,10.13,Not Detected
23/2/2026,08:08:00,Bedroom,26.9,82.3,6.45,Not Detected
23/2/2026,08:06:56,Living Room,27,82.4,10.01,Not Detected
23/2/2026,08:06:54,Bedroom,26.9,82.3,6.3,Not Detected
23/2/2026,08:06:00,Living Room,27,82.5,9.91,Not Detected
23/2/2026,08:05:59,Bedroom,26.8,82.3,6.25,Not Detected
23/2/2026,08:05:03,Bedroom,26.9,82.3,6.37,Not Detected
23/2/2026,08:04:55,Living Room,27,82.4,10.06,Not Detected
23/2/2026,08:04:00,Living Room,27,82.4,10.01,Not Detected
23/2/2026,08:03:59,Bedroom,26.8,82.3,6.35,Not Detected
23/2/2026,08:02:55,Living Room,27,82.4,10.04,Not Detected
23/2/2026,08:02:54,Bedroom,26.8,82.3,6.2,Not Detected
23/2/2026,08:02:00,Living Room,27,82.4,10.26,Not Detected
23/2/2026,08:01:58,Bedroom,26.8,82.3,6.32,Not Detected
23/2/2026,08:00:55,Living Room,27,82.4,10.01,Not Detected
23/2/2026,08:00:53,Bedroom,26.8,82.3,6.35,Not Detected
23/2/2026,08:00:09,Living Room,27,82.4,10.11,Not Detected
23/2/2026,08:00:08,Bedroom,26.8,82.3,6.37,Not Detected
23/2/2026,07:59:02,Living Room,27,82.4,10.11,Not Detected
23/2/2026,07:59:01,Bedroom,26.8,82.3,6.45,Not Detected
23/2/2026,07:56:59,Living Room,27,82.3,9.84,Not Detected
23/2/2026,07:56:58,Bedroom,26.8,82.2,6.3,Not Detected
23/2/2026,07:56:02,Bedroom,26.9,82.3,6.5,Not Detected
23/2/2026,07:55:54,Living Room,27,82.3,10.16,Not Detected
23/2/2026,07:54:58,Living Room,27,82.3,9.84,Not Detected
23/2/2026,07:54:57,Bedroom,26.9,82.3,6.3,Not Detected
23/2/2026,07:54:02,Bedroom,26.8,82.2,6.3,Not Detected
23/2/2026,07:53:54,Living Room,27,82.3,9.96,Not Detected
23/2/2026,07:52:59,Living Room,27,82.4,10.01,Not Detected
23/2/2026,07:52:58,Bedroom,26.8,82.3,6.28,Not Detected
23/2/2026,07:52:03,Bedroom,26.8,82.2,6.52,Not Detected
23/2/2026,07:51:55,Living Room,27,82.3,10.18,Not Detected
23/2/2026,07:51:00,Living Room,27,82.3,10.01,Not Detected
23/2/2026,07:50:59,Bedroom,26.8,82.2,6.45,Not Detected
23/2/2026,07:50:05,Living Room,27,82.3,10.09,Not Detected
23/2/2026,07:50:03,Bedroom,26.9,82.2,6.25,Not Detected
23/2/2026,07:49:00,Living Room,27,82.4,10.06,Not Detected
23/2/2026,07:48:59,Bedroom,26.8,82.2,6.11,Not Detected
23/2/2026,07:47:56,Living Room,27,82.4,10.06,Not Detected
23/2/2026,07:47:54,Bedroom,26.9,82.2,6.54,Not Detected
23/2/2026,07:47:00,Living Room,27,82.3,9.96,Not Detected
23/2/2026,07:46:59,Bedroom,26.8,82.2,6.28,Not Detected
23/2/2026,07:45:56,Living Room,27,82.3,9.89,Not Detected
23/2/2026,07:45:55,Bedroom,26.9,82.2,6.35,Not Detected
23/2/2026,07:44:58,Living Room,27,82.3,10.06,Not Detected
23/2/2026,07:44:56,Bedroom,26.8,82.2,6.37,Not Detected
23/2/2026,07:44:02,Living Room,27,82.3,9.94,Not Detected
23/2/2026,07:44:01,Bedroom,26.9,82.2,6.25,Not Detected
23/2/2026,07:42:57,Living Room,27,82.3,10.01,Not Detected
23/2/2026,07:42:56,Bedroom,26.9,82.2,6.3,Not Detected
23/2/2026,07:42:02,Living Room,27,82.3,10.11,Not Detected
23/2/2026,07:42:00,Bedroom,26.8,82.2,6.35,Not Detected
23/2/2026,07:40:01,Living Room,27,82.3,9.96,Not Detected
23/2/2026,07:39:59,Bedroom,26.9,82.2,6.18,Not Detected
23/2/2026,07:38:56,Living Room,27,82.3,10.09,Not Detected
23/2/2026,07:38:54,Bedroom,26.9,82.2,6.2,Not Detected
23/2/2026,07:38:00,Living Room,27,82.3,10.01,Not Detected
23/2/2026,07:37:59,Bedroom,26.9,82.2,6.37,Not Detected
23/2/2026,07:36:55,Living Room,27,82.3,10.16,Not Detected
23/2/2026,07:36:54,Bedroom,26.9,82.2,6.28,Not Detected
23/2/2026,07:36:00,Living Room,27,82.3,10.01,Not Detected
23/2/2026,07:35:58,Bedroom,26.9,82.3,6.25,Not Detected
23/2/2026,07:35:04,Living Room,27,82.3,9.82,Not Detected
23/2/2026,07:35:03,Bedroom,26.9,82.2,6.4,Not Detected
23/2/2026,07:34:00,Living Room,27,82.3,9.96,Not Detected
23/2/2026,07:33:58,Bedroom,26.9,82.3,6.47,Not Detected
23/2/2026,07:32:55,Living Room,27,82.3,10.09,Not Detected
23/2/2026,07:32:54,Bedroom,26.9,82.3,6.35,Not Detected
23/2/2026,07:32:00,Living Room,27,82.4,10.06,Not Detected
23/2/2026,07:31:58,Bedroom,26.9,82.2,6.08,Not Detected
23/2/2026,07:30:55,Living Room,27,82.4,10.06,Not Detected
